trade,datetime_utc,symbol,buy_exchange,sell_exchange,buy_price,sell_price,qty,latency_cost,gross_pnl,net_pnl,cumulative_pnl
1,2025-01-19 15:19:00,ETH/USDT,C2C2,C2C1,3390.992432,3394.062744,14.74789524,20.0131,5.2545,-1.9502,-1.9502
2,2025-01-19 21:53:00,ETH/USDT,C2C2,C2C1,3232.621582,3241.250000,15.47035599,20.0306,93.4235,86.2124,84.2623
3,2025-01-19 23:33:00,ETH/USDT,C2C2,C2C1,3186.789795,3191.864502,15.69555378,20.0233,39.6037,32.3953,116.6576
4,2025-01-20 00:49:00,BTC/USDT,C2C1,C2C2,99853.859375,99904.125000,0.50094879,20.0137,-14.8469,-22.0518,94.6058
5,2025-01-20 07:00:00,ETH/USDT,C2C1,C2C2,3407.874268,3414.308838,14.67761326,20.0267,54.3908,47.1812,141.7870
6,2025-01-20 07:04:00,BTC/USDT,C2C1,C2C2,108075.617188,108735.445312,0.46286279,20.0708,265.2684,258.0429,399.8299
7,2025-01-20 07:04:00,ETH/USDT,C2C1,C2C2,3420.093018,3424.841309,14.63410282,20.0339,29.4192,22.2070,422.0369
8,2025-01-20 17:10:00,ETH/USDT,C2C1,C2C2,3323.455078,3342.549072,15.06029320,20.0784,247.4044,240.1761,662.2130
9,2025-01-21 02:26:00,ETH/USDT,C2C1,C2C2,3256.658447,3258.517822,15.37656975,20.0362,-11.4816,-18.6947,643.5184
10,2025-02-03 02:07:00,BTC/USDT,C2C2,C2C1,91441.179688,92271.367188,0.54761285,20.1207,414.3800,407.1366,1050.6549
11,2025-02-03 14:33:00,BTC/USDT,C2C1,C2C2,95159.359375,95485.820312,0.52664381,20.0804,131.7678,124.5388,1175.1937
12,2025-02-03 14:33:00,ETH/USDT,C2C1,C2C2,2583.387451,2586.273438,19.40380478,20.0622,15.8747,8.6523,1183.8459
13,2025-02-03 14:33:00,SOL/USDT,C2C1,C2C2,193.505386,195.916794,259.05435181,20.1763,584.3330,577.0695,1760.9155
